index,lat,lon,heading_deg,point_type,next_seg_type
0,29.16830195,119.88242800,141.7,0,0
1,29.16823824,119.88248388,106.3,0,0
2,29.16822673,119.88259332,65.3,0,0
3,29.16832290,119.88258823,260.0,0,0
4,29.16830195,119.88242800,141.7,1,0
 
